,GDP,CPIAUCSL,UNRATE,FEDFUNDS,T10Y2Y,M2SL,BAA10Y
2022-06-15,,,,,0.13,,2.1
2022-06-16,,,,,0.14,,2.13
2022-06-17,,,,,0.08,,2.13
2022-06-20,,,,,,,
2022-06-21,,,,,0.1,,2.13
2022-06-22,,,,,0.1,,2.17
2022-06-23,,,,,0.08,,2.2
2022-06-24,,,,,0.09,,2.22
2022-06-27,,,,,0.12,,2.19
2022-06-28,,,,,0.1,,2.22
2022-06-29,,,,,0.04,,2.24
2022-06-30,,,,,0.06,,2.31
2022-07-01,26272.011,294.94,3.5,1.68,0.04,21644.5,2.42
2022-07-04,,,,,,,
2022-07-05,,,,,0.0,,2.41
2022-07-06,,,,,-0.04,,2.39
2022-07-07,,,,,-0.02,,2.33
2022-07-08,,,,,-0.03,,2.31
2022-07-11,,,,,-0.08,,2.32
2022-07-12,,,,,-0.07,,2.31
2022-07-13,,,,,-0.22,,2.32
2022-07-14,,,,,-0.19,,2.31
2022-07-15,,,,,-0.2,,2.3
2022-07-18,,,,,-0.19,,2.28
2022-07-19,,,,,-0.22,,2.26
2022-07-20,,,,,-0.21,,2.2
2022-07-21,,,,,-0.19,,2.23
2022-07-22,,,,,-0.21,,2.28
2022-07-25,,,,,-0.19,,2.31
2022-07-26,,,,,-0.21,,2.29
2022-07-27,,,,,-0.18,,2.3
2022-07-28,,,,,-0.17,,2.42
2022-07-29,,,,,-0.22,,2.36
2022-08-01,,295.162,3.6,2.33,-0.3,21626.6,2.38
2022-08-02,,,,,-0.31,,2.29
2022-08-03,,,,,-0.37,,2.29
2022-08-04,,,,,-0.35,,2.32
2022-08-05,,,,,-0.41,,2.29
2022-08-08,,,,,-0.44,,2.26
2022-08-09,,,,,-0.48,,2.26
2022-08-10,,,,,-0.45,,2.29
2022-08-11,,,,,-0.36,,2.29
2022-08-12,,,,,-0.41,,2.27
2022-08-15,,,,,-0.41,,2.27
2022-08-16,,,,,-0.43,,2.27
2022-08-17,,,,,-0.39,,2.24
2022-08-18,,,,,-0.34,,2.24
2022-08-19,,,,,-0.27,,2.25
2022-08-22,,,,,-0.29,,2.24
2022-08-23,,,,,-0.24,,2.24
2022-08-24,,,,,-0.25,,2.23
2022-08-25,,,,,-0.32,,2.21
2022-08-26,,,,,-0.33,,2.19
2022-08-29,,,,,-0.3,,2.19
2022-08-30,,,,,-0.35,,2.17
2022-08-31,,,,,-0.3,,2.18
2022-09-01,,296.421,3.5,2.56,-0.25,21507.8,2.22
2022-09-02,,,,,-0.2,,2.24
2022-09-05,,,,,,,
2022-09-06,,,,,-0.17,,2.27
2022-09-07,,,,,-0.18,,2.24
2022-09-08,,,,,-0.19,,2.25
2022-09-09,,,,,-0.23,,2.2
2022-09-12,,,,,-0.21,,2.2
2022-09-13,,,,,-0.33,,2.18
2022-09-14,,,,,-0.37,,2.15
2022-09-15,,,,,-0.42,,2.12
2022-09-16,,,,,-0.4,,2.18
2022-09-19,,,,,-0.46,,2.15
2022-09-20,,,,,-0.39,,2.13
2022-09-21,,,,,-0.51,,2.12
2022-09-22,,,,,-0.41,,2.08
2022-09-23,,,,,-0.51,,2.09
2022-09-26,,,,,-0.39,,2.01
2022-09-27,,,,,-0.33,,2.08
2022-09-28,,,,,-0.35,,2.25
2022-09-29,,,,,-0.4,,2.27
2022-09-30,,,,,-0.39,,2.24
2022-10-01,26734.277,297.979,3.6,3.08,,21433.2,
2022-10-03,,,,,-0.45,,2.29
2022-10-04,,,,,-0.48,,2.27
2022-10-05,,,,,-0.39,,2.22
2022-10-06,,,,,-0.4,,2.16
2022-10-07,,,,,-0.41,,2.17
2022-10-10,,,,,,,
2022-10-11,,,,,-0.37,,2.23
2022-10-12,,,,,-0.37,,2.27
2022-10-13,,,,,-0.5,,2.28
2022-10-14,,,,,-0.48,,2.28
2022-10-17,,,,,-0.43,,2.28
2022-10-18,,,,,-0.42,,2.28
2022-10-19,,,,,-0.41,,2.25
2022-10-20,,,,,-0.38,,2.24
2022-10-21,,,,,-0.28,,2.36
2022-10-24,,,,,-0.25,,2.34
2022-10-25,,,,,-0.32,,2.37
2022-10-26,,,,,-0.35,,2.33
2022-10-27,,,,,-0.34,,2.34
2022-10-28,,,,,-0.39,,2.3
2022-10-31,,,,,-0.41,,2.28
2022-11-01,,298.708,3.6,3.78,-0.47,21366.9,2.22
2022-11-02,,,,,-0.51,,2.18
2022-11-03,,,,,-0.57,,2.19
2022-11-04,,,,,-0.49,,2.22
2022-11-07,,,,,-0.5,,2.22
2022-11-08,,,,,-0.53,,2.23
2022-11-09,,,,,-0.49,,2.33
2022-11-10,,,,,-0.52,,2.36
2022-11-11,,,,,,,
2022-11-14,,,,,-0.52,,2.27
2022-11-15,,,,,-0.57,,2.23
2022-11-16,,,,,-0.68,,2.24
2022-11-17,,,,,-0.66,,2.18
2022-11-18,,,,,-0.69,,2.13
2022-11-21,,,,,-0.65,,2.08
2022-11-22,,,,,-0.71,,2.07
2022-11-23,,,,,-0.75,,2.02
2022-11-24,,,,,,,
2022-11-25,,,,,-0.74,,2.06
2022-11-28,,,,,-0.77,,2.05
2022-11-29,,,,,-0.73,,2.06
2022-11-30,,,,,-0.7,,2.15
2022-12-01,,298.808,3.5,4.1,-0.72,21273.0,2.09
2022-12-02,,,,,-0.77,,2.03
2022-12-05,,,,,-0.81,,1.99
2022-12-06,,,,,-0.83,,1.97
2022-12-07,,,,,-0.84,,1.95
2022-12-08,,,,,-0.83,,1.91
2022-12-09,,,,,-0.76,,1.9
2022-12-12,,,,,-0.78,,1.88
2022-12-13,,,,,-0.71,,1.91
2022-12-14,,,,,-0.74,,1.95
2022-12-15,,,,,-0.79,,1.97
2022-12-16,,,,,-0.69,,1.98
2022-12-19,,,,,-0.68,,1.98
2022-12-20,,,,,-0.56,,1.99
2022-12-21,,,,,-0.53,,2.01
2022-12-22,,,,,-0.57,,1.99
2022-12-23,,,,,-0.56,,2.0
2022-12-26,,,,,,,
2022-12-27,,,,,-0.48,,2.02
2022-12-28,,,,,-0.43,,2.01
2022-12-29,,,,,-0.51,,2.01
2022-12-30,,,,,-0.53,,1.99
2023-01-01,27164.359,300.456,3.5,4.33,,21187.9,
2023-01-02,,,,,,,
2023-01-03,,,,,-0.61,,2.03
2023-01-04,,,,,-0.67,,2.07
2023-01-05,,,,,-0.74,,2.03
2023-01-06,,,,,-0.69,,2.07
2023-01-09,,,,,-0.66,,2.02
2023-01-10,,,,,-0.63,,2.02
2023-01-11,,,,,-0.66,,1.99
2023-01-12,,,,,-0.69,,1.97
2023-01-13,,,,,-0.73,,1.95
2023-01-16,,,,,,,
2023-01-17,,,,,-0.65,,1.91
2023-01-18,,,,,-0.69,,1.96
2023-01-19,,,,,-0.7,,1.99
2023-01-20,,,,,-0.66,,1.98
2023-01-23,,,,,-0.69,,1.96
2023-01-24,,,,,-0.66,,1.94
2023-01-25,,,,,-0.65,,1.96
2023-01-26,,,,,-0.68,,1.91
2023-01-27,,,,,-0.67,,1.88
2023-01-30,,,,,-0.7,,1.87
2023-01-31,,,,,-0.69,,1.9
2023-02-01,,301.476,3.6,4.57,-0.7,21117.1,1.91
2023-02-02,,,,,-0.69,,1.88
2023-02-03,,,,,-0.77,,1.83
2023-02-06,,,,,-0.81,,1.77
2023-02-07,,,,,-0.8,,1.78
2023-02-08,,,,,-0.82,,1.83
2023-02-09,,,,,-0.81,,1.84
2023-02-10,,,,,-0.76,,1.85
2023-02-13,,,,,-0.8,,1.84
2023-02-14,,,,,-0.83,,1.81
2023-02-15,,,,,-0.81,,1.82
2023-02-16,,,,,-0.76,,1.84
2023-02-17,,,,,-0.78,,1.89
2023-02-20,,,,,,,
2023-02-21,,,,,-0.72,,1.87
2023-02-22,,,,,-0.73,,1.85
2023-02-23,,,,,-0.78,,1.86
2023-02-24,,,,,-0.83,,1.86
2023-02-27,,,,,-0.86,,1.87
2023-02-28,,,,,-0.89,,1.9
2023-03-01,,301.643,3.5,4.65,-0.88,20870.0,1.84
2023-03-02,,,,,-0.81,,1.82
2023-03-03,,,,,-0.89,,1.79
2023-03-06,,,,,-0.91,,1.79
2023-03-07,,,,,-1.03,,1.79
2023-03-08,,,,,-1.07,,1.79
2023-03-09,,,,,-0.97,,1.85
2023-03-10,,,,,-0.9,,1.96
2023-03-13,,,,,-0.48,,2.14
2023-03-14,,,,,-0.56,,2.11
2023-03-15,,,,,-0.42,,2.22
2023-03-16,,,,,-0.58,,2.16
2023-03-17,,,,,-0.42,,2.21
2023-03-20,,,,,-0.45,,2.19
2023-03-21,,,,,-0.58,,2.11
2023-03-22,,,,,-0.48,,2.16
2023-03-23,,,,,-0.38,,2.26
2023-03-24,,,,,-0.38,,2.24
2023-03-27,,,,,-0.41,,2.19
2023-03-28,,,,,-0.47,,2.19
2023-03-29,,,,,-0.51,,2.15
2023-03-30,,,,,-0.55,,2.11
2023-03-31,,,,,-0.58,,2.11
2023-04-01,27453.815,302.858,3.4,4.83,,20712.0,
2023-04-03,,,,,-0.54,,2.11
2023-04-04,,,,,-0.49,,2.1
2023-04-05,,,,,-0.49,,2.14
2023-04-06,,,,,-0.52,,2.11
2023-04-07,,,,,-0.58,,
2023-04-10,,,,,-0.59,,2.09
2023-04-11,,,,,-0.6,,2.05
2023-04-12,,,,,-0.54,,2.08
2023-04-13,,,,,-0.51,,2.07
2023-04-14,,,,,-0.56,,2.05
2023-04-17,,,,,-0.58,,2.02
2023-04-18,,,,,-0.61,,2.01
2023-04-19,,,,,-0.64,,2.01
2023-04-20,,,,,-0.6,,2.05
2023-04-21,,,,,-0.6,,2.04
2023-04-24,,,,,-0.6,,2.04
2023-04-25,,,,,-0.46,,2.09
2023-04-26,,,,,-0.47,,2.11
2023-04-27,,,,,-0.54,,2.07
2023-04-28,,,,,-0.6,,2.08
2023-05-01,,303.316,3.6,5.06,-0.55,20804.6,2.06
2023-05-02,,,,,-0.53,,2.16
2023-05-03,,,,,-0.51,,2.2
2023-05-04,,,,,-0.38,,2.24
2023-05-05,,,,,-0.48,,2.2
2023-05-08,,,,,-0.48,,2.2
2023-05-09,,,,,-0.48,,2.21
2023-05-10,,,,,-0.47,,2.26
2023-05-11,,,,,-0.5,,2.25
2023-05-12,,,,,-0.52,,2.21
2023-05-15,,,,,-0.49,,2.27
2023-05-16,,,,,-0.52,,2.28
2023-05-17,,,,,-0.55,,2.26
2023-05-18,,,,,-0.59,,2.2
2023-05-19,,,,,-0.58,,2.18
2023-05-22,,,,,-0.57,,2.19
2023-05-23,,,,,-0.56,,2.19
2023-05-24,,,,,-0.58,,2.18
2023-05-25,,,,,-0.67,,2.1
2023-05-26,,,,,-0.74,,2.1
2023-05-29,,,,,,,
2023-05-30,,,,,-0.77,,2.14
2023-05-31,,,,,-0.76,,2.16
2023-06-01,,304.099,3.6,5.08,-0.72,20788.4,2.15
2023-06-02,,,,,-0.81,,2.11
2023-06-05,,,,,-0.77,,2.1
2023-06-06,,,,,-0.81,,2.08
2023-06-07,,,,,-0.77,,2.06
2023-06-08,,,,,-0.79,,2.07
2023-06-09,,,,,-0.84,,2.05
2023-06-12,,,,,-0.82,,2.1
2023-06-13,,,,,-0.83,,2.0
2023-06-14,,,,,-0.91,,1.94
2023-06-15,,,,,-0.9,,2.02
2023-06-16,,,,,-0.93,,1.96
2023-06-19,,,,,,,
2023-06-20,,,,,-0.94,,1.95
2023-06-21,,,,,-0.96,,1.96
2023-06-22,,,,,-0.97,,1.94
2023-06-23,,,,,-0.97,,1.96
2023-06-26,,,,,-0.93,,1.98
2023-06-27,,,,,-0.97,,1.94
2023-06-28,,,,,-1.0,,1.96
2023-06-29,,,,,-1.02,,1.92
2023-06-30,,,,,-1.06,,1.88
2023-07-01,27967.697,304.615,3.5,5.12,,20762.6,
2023-07-03,,,,,-1.08,,1.85
2023-07-04,,,,,,,
2023-07-05,,,,,-0.99,,1.83
2023-07-06,,,,,-0.94,,1.8
2023-07-07,,,,,-0.88,,1.81
2023-07-10,,,,,-0.84,,1.86
2023-07-11,,,,,-0.89,,1.84
2023-07-12,,,,,-0.86,,1.88
2023-07-13,,,,,-0.83,,1.91
2023-07-14,,,,,-0.91,,1.87
2023-07-17,,,,,-0.93,,1.9
2023-07-18,,,,,-0.94,,1.89
2023-07-19,,,,,-0.99,,1.87
2023-07-20,,,,,-0.95,,1.85
2023-07-21,,,,,-0.98,,1.85
2023-07-24,,,,,-0.95,,1.84
2023-07-25,,,,,-0.94,,1.81
2023-07-26,,,,,-0.96,,1.83
2023-07-27,,,,,-0.9,,1.78
2023-07-28,,,,,-0.91,,1.8
2023-07-31,,,,,-0.91,,1.77
2023-08-01,,306.138,3.7,5.33,-0.87,20735.0,1.77
2023-08-02,,,,,-0.8,,1.82
2023-08-03,,,,,-0.7,,1.84
2023-08-04,,,,,-0.73,,1.9
2023-08-07,,,,,-0.67,,1.9
2023-08-08,,,,,-0.72,,1.93
2023-08-09,,,,,-0.79,,1.92
2023-08-10,,,,,-0.73,,1.89
2023-08-11,,,,,-0.73,,1.87
2023-08-14,,,,,-0.77,,1.84
2023-08-15,,,,,-0.71,,1.86
2023-08-16,,,,,-0.69,,1.84
2023-08-17,,,,,-0.64,,1.87
2023-08-18,,,,,-0.66,,1.89
2023-08-21,,,,,-0.63,,1.88
2023-08-22,,,,,-0.68,,1.82
2023-08-23,,,,,-0.76,,1.83
2023-08-24,,,,,-0.75,,1.8
2023-08-25,,,,,-0.78,,1.76
2023-08-28,,,,,-0.78,,1.82
2023-08-29,,,,,-0.75,,1.84
2023-08-30,,,,,-0.78,,1.82
2023-08-31,,,,,-0.76,,1.83
2023-09-01,,307.374,3.8,5.33,-0.69,20681.4,1.82
2023-09-04,,,,,,,
2023-09-05,,,,,-0.67,,1.84
2023-09-06,,,,,-0.71,,1.79
2023-09-07,,,,,-0.67,,1.81
2023-09-08,,,,,-0.72,,1.79
2023-09-11,,,,,-0.68,,1.8
2023-09-12,,,,,-0.71,,1.79
2023-09-13,,,,,-0.71,,1.81
2023-09-14,,,,,-0.71,,1.8
2023-09-15,,,,,-0.69,,1.78
2023-09-18,,,,,-0.73,,1.77
2023-09-19,,,,,-0.71,,1.75
2023-09-20,,,,,-0.77,,1.73
2023-09-21,,,,,-0.63,,1.66
2023-09-22,,,,,-0.66,,1.73
2023-09-25,,,,,-0.54,,1.75
2023-09-26,,,,,-0.48,,1.77
2023-09-27,,,,,-0.49,,1.77
2023-09-28,,,,,-0.45,,1.8
2023-09-29,,,,,-0.44,,1.78
2023-10-01,28296.967,307.653,3.9,5.33,,20662.5,
2023-10-02,,,,,-0.43,,1.78
2023-10-03,,,,,-0.34,,1.82
2023-10-04,,,,,-0.32,,1.83
2023-10-05,,,,,-0.31,,1.85
2023-10-06,,,,,-0.3,,1.84
2023-10-09,,,,,,,
2023-10-10,,,,,-0.3,,1.83
2023-10-11,,,,,-0.41,,1.82
2023-10-12,,,,,-0.36,,1.83
2023-10-13,,,,,-0.41,,1.82
2023-10-16,,,,,-0.38,,1.83
2023-10-17,,,,,-0.36,,1.8
2023-10-18,,,,,-0.28,,1.78
2023-10-19,,,,,-0.16,,1.82
2023-10-20,,,,,-0.14,,1.88
2023-10-23,,,,,-0.19,,1.85
2023-10-24,,,,,-0.19,,1.84
2023-10-25,,,,,-0.13,,1.83
2023-10-26,,,,,-0.16,,1.82
2023-10-27,,,,,-0.15,,1.88
2023-10-30,,,,,-0.15,,1.86
2023-10-31,,,,,-0.19,,1.85
2023-11-01,,308.087,3.7,5.33,-0.18,20675.7,1.91
2023-11-02,,,,,-0.31,,1.84
2023-11-03,,,,,-0.26,,1.86
2023-11-06,,,,,-0.26,,1.84
2023-11-07,,,,,-0.33,,1.83
2023-11-08,,,,,-0.44,,1.84
2023-11-09,,,,,-0.41,,1.83
2023-11-10,,,,,-0.43,,1.8
2023-11-13,,,,,-0.39,,1.79
2023-11-14,,,,,-0.36,,1.83
2023-11-15,,,,,-0.37,,1.8
2023-11-16,,,,,-0.38,,1.81
2023-11-17,,,,,-0.44,,1.78
2023-11-20,,,,,-0.47,,1.76
2023-11-21,,,,,-0.45,,1.77
2023-11-22,,,,,-0.47,,1.71
2023-11-23,,,,,,,
2023-11-24,,,,,-0.45,,1.72
2023-11-27,,,,,-0.45,,1.71
2023-11-28,,,,,-0.39,,1.75
2023-11-29,,,,,-0.37,,1.72
2023-11-30,,,,,-0.36,,1.67
2023-12-01,,308.735,3.8,5.33,-0.34,20725.4,1.71
2023-12-04,,,,,-0.36,,1.67
2023-12-05,,,,,-0.39,,1.65
2023-12-06,,,,,-0.48,,1.63
2023-12-07,,,,,-0.44,,1.63
2023-12-08,,,,,-0.48,,1.61
2023-12-11,,,,,-0.48,,1.61
2023-12-12,,,,,-0.53,,1.6
2023-12-13,,,,,-0.42,,1.61
2023-12-14,,,,,-0.45,,1.57
2023-12-15,,,,,-0.53,,1.57
2023-12-18,,,,,-0.48,,1.58
2023-12-19,,,,,-0.48,,1.57
2023-12-20,,,,,-0.48,,1.63
2023-12-21,,,,,-0.44,,1.64
2023-12-22,,,,,-0.41,,1.65
2023-12-25,,,,,,,
2023-12-26,,,,,-0.37,,1.64
2023-12-27,,,,,-0.41,,1.64
2023-12-28,,,,,-0.42,,1.62
2023-12-29,,,,,-0.35,,1.61
2024-01-01,28624.069,309.794,3.7,5.33,,20726.1,
2024-01-02,,,,,-0.38,,1.62
2024-01-03,,,,,-0.42,,1.66
2024-01-04,,,,,-0.39,,1.65
2024-01-05,,,,,-0.35,,1.65
2024-01-08,,,,,-0.35,,1.65
2024-01-09,,,,,-0.34,,1.63
2024-01-10,,,,,-0.33,,1.59
2024-01-11,,,,,-0.28,,1.63
2024-01-12,,,,,-0.18,,1.64
2024-01-15,,,,,,,
2024-01-16,,,,,-0.15,,1.65
2024-01-17,,,,,-0.24,,1.63
2024-01-18,,,,,-0.2,,1.62
2024-01-19,,,,,-0.24,,1.59
2024-01-22,,,,,-0.26,,1.59
2024-01-23,,,,,-0.17,,1.62
2024-01-24,,,,,-0.16,,1.61
2024-01-25,,,,,-0.14,,1.6
2024-01-26,,,,,-0.19,,1.58
2024-01-29,,,,,-0.21,,1.6
2024-01-30,,,,,-0.3,,1.58
2024-01-31,,,,,-0.28,,1.61
2024-02-01,,311.022,3.9,5.33,-0.33,20762.0,1.63
2024-02-02,,,,,-0.33,,1.59
2024-02-05,,,,,-0.29,,1.56
2024-02-06,,,,,-0.3,,1.58
2024-02-07,,,,,-0.32,,1.6
2024-02-08,,,,,-0.31,,1.6
2024-02-09,,,,,-0.31,,1.59
2024-02-12,,,,,-0.29,,1.58
2024-02-13,,,,,-0.33,,1.54
2024-02-14,,,,,-0.29,,1.56
2024-02-15,,,,,-0.32,,1.57
2024-02-16,,,,,-0.34,,1.53
2024-02-19,,,,,,,
2024-02-20,,,,,-0.32,,1.56
2024-02-21,,,,,-0.32,,1.54
2024-02-22,,,,,-0.36,,1.49
2024-02-23,,,,,-0.41,,1.49
